0, 754
1, 5842
2, 8155
3, 3919
4, 729
5, 4235
6, 1162
7, 1460
8, 375
9, 1372
10, 3771
11, 8829
12, 3958
13, 3875
14, 7741
15, 8301
16, 5471
17, 9747
18, 3323
19, 5306
20, 7678
21, 789
22, 3029
23, 1502
24, 5812
25, 4684
26, 2409
27, 2401
28, 3247
29, 4315
30, 4423
31, 3666
32, 8489
33, 8886
34, 3755
35, 2774
36, 3180
37, 6323
38, 3908
39, 8795
40, 5713
41, 1497
42, 2403
43, 8160
44, 11
45, 513
46, 3802
47, 3660
48, 6717
49, 4136
50, 5293
51, 6486
52, 439
53, 2238
54, 1016
55, 2363
56, 5753
57, 3126
58, 7994
59, 4796
60, 2494
61, 5657
62, 6746
63, 9133
64, 1381
65, 500
66, 2503
67, 3414
68, 3240
69, 7017
70, 326
71, 888
72, 1148
73, 4291
74, 5053
75, 1575
76, 9992
77, 3492
78, 5372
79, 5815
80, 5609
81, 3507
82, 6777
83, 4661
84, 1777
85, 7405
86, 8361
87, 1550
88, 87
89, 7559
90, 8975
91, 9746
92, 2583
93, 831
94, 5386
95, 458
96, 207
97, 2508
98, 6494
99, 5655
100, 4346
101, 2025
102, 4512
103, 3804
104, 6880
105, 3562
106, 7699
107, 6474
108, 8890
109, 5907
110, 9705
111, 9767
112, 9488
113, 7756
114, 8992
115, 5991
116, 6241
117, 3221
118, 2272
119, 4529
120, 4914
121, 5348
122, 8306
123, 8606
124, 2933
125, 3561
126, 384
127, 2855
128, 3688
129, 5023
130, 6202
131, 7279
132, 352
133, 2277
134, 1748
135, 4483
136, 6618
137, 1778
138, 6091
139, 2195
140, 6888
141, 4656
142, 6123
143, 4274
144, 3535
145, 1967
146, 8163
147, 5903
148, 6411
149, 7553
150, 1238
151, 9060
152, 8768
153, 9658
154, 5307
155, 1648
156, 9225
157, 7157
158, 8652
159, 4777
160, 7173
161, 4972
162, 8552
163, 5919
164, 4211
165, 2048
166, 7192
167, 7598
168, 1629
169, 4829
170, 4178
171, 4373
172, 1685
173, 2574
174, 56
175, 5802
176, 6556
177, 2670
178, 5408
179, 5734
180, 8188
181, 6590
182, 4869
183, 4008
184, 2252
185, 6167
186, 329
187, 5753
188, 5768
189, 5936
190, 8342
191, 5414
192, 8680
193, 6784
194, 3856
195, 5205
196, 6783
197, 6182
198, 4896
199, 2817
200, 9461
201, 1298
202, 8083
203, 3838
204, 9063
205, 9114
206, 386
207, 9327
208, 5957
209, 2502
210, 5132
211, 4302
212, 4689
213, 4419
214, 6936
215, 3432
216, 9696
217, 7186
218, 8293
219, 7478
220, 1461
221, 6453
222, 6249
223, 2338
224, 2453
225, 4667
226, 6083
227, 2214
228, 956
229, 8052
230, 8669
231, 4577
232, 5200
233, 8498
234, 2068
235, 7235
236, 7009
237, 351
238, 6667
239, 8308
240, 3315
241, 921
242, 2523
243, 1189
244, 8485
245, 3142
246, 7363
247, 2105
248, 6281
249, 1781
250, 5848
251, 6040
252, 9657
253, 7046
254, 2977
255, 3339
256, 5481
257, 9381
258, 6937
259, 4553
260, 4087
261, 7690
262, 9115
263, 6138
264, 5857
265, 8861
266, 7200
267, 7329
268, 3175
269, 8140
270, 3454
271, 1911
272, 6774
273, 1048
274, 1225
275, 8081
276, 2619
277, 3732
278, 1540
279, 5551
280, 1054
281, 7034
282, 2526
283, 4472
284, 6117
285, 8241
286, 8691
287, 5270
288, 8744
289, 3099
290, 5001
291, 7710
292, 3983
293, 609
294, 935
295, 8145
296, 1290
297, 9837
298, 202
299, 3583
300, 3812
301, 2322
302, 2096
303, 6007
304, 9005
305, 86
306, 775
307, 7021
308, 285
309, 7506
310, 5783
311, 4696
312, 3728
313, 9112
314, 7500
315, 3643
316, 4843
317, 6937
318, 3620
319, 7372
320, 9702
321, 743
322, 5430
323, 8001
324, 4127
325, 8739
326, 4774
327, 3983
328, 413
329, 2223
330, 8431
331, 3674
332, 9921
333, 8733
334, 9150
335, 4893
336, 9033
337, 6506
338, 1134
339, 5357
340, 3949
341, 9767
342, 7516
343, 9566
344, 7691
345, 2712
346, 5682
347, 9839
348, 5361
349, 38
350, 850
351, 9363
352, 9009
353, 5283
354, 6793
355, 5035
356, 7340
357, 1693
358, 5176
359, 934
360, 6801
361, 4525
362, 4430
363, 6178
364, 4279
365, 7983
366, 1852
367, 9287
368, 8864
369, 4527
